INSERT
abaya =aba
apricot 杏杏树
bumpily 扑通
cigala 蝉
blabber 多嘴的人
ascription 归属
airspeed 空速
cargoboat 货船
basketwork 编织物
creese 短剑
bacillicide 杀杆菌剂
cardplayer 玩牌的人
caprine 公山羊的
cerium [化]铈
apodosis 归结子句
alembic 蒸馏器
bindlestiff 流浪者
balata 树胶
branchiae 鳃
celtuce 一种青菜
cressida 克雷西达
atonal 无调的
ceremoniously 隆重地
cede 放弃
apiculture 养蜂
allan 艾伦
chorally 合唱地
argentate 银色的
billhook 钩镰
acquittal 宣判无罪
airlike 似空气的
abdiel 神仆
autogiro 旋翼飞机
astraddle 跨着
competitory 竞争的
aphrodisia 性欲炽盛
biochemistry 生物化学
anagenesis 进化
aright 正确地
currency 流通
computable 可计算的
annularly 环状地
carnification 肉质化
agrostology 草本学
azotic 氮的
coinstantaneity 共同继承
beef 牛肉
ascariasis 蛔虫病
cryptogam 隐花植物
cruor 凝血
airstrip 飞机跑道
conjugation 结合
containership 货柜船
anime 芳香树脂
crikey 唉呀!
cabotin 二流演员
amphiphyte 两栖植物
cinnamic 苯乙烯的
bedquilt 棉被
coffer 保险箱
calcification 石灰化
cageling 笼中鸟
appropriate 适当的
chagatai 查加台语
carabao 水牛
bemaul 严重打伤
alcohol 酒精酒
agressire 攻击的
aslope 成斜坡的
alutaceous 似皮革的
aerosiderite 陨铁
annum 年岁
climograph 气象图
clientage 委托关系
ablatival 离格的
cofacter 余因子
absquatulation 开小差
armillary 手镯的
calciferol 钙化醇
craze 狂热
bowline 帆脚索
cevitamic 维生素C
bacteriform 细菌状的
batleship 战舰
anthropologic 人类学的
aeronef 飞机
angrily 愤怒地
bichrome 双色的
begrimed 污秽的
consumingly 强烈地
cavort 腾跃
biosatellite 生物卫星
abernethy 硬饼干
amblyopia 弱视
crayonist 蜡笔画家
belligerency 交战状态
alimentotherapy 食物疗法
additionally 加之又
counterappeal 抗告
chrysoberyl 金绿玉
colorant 着色剂
crossyard 横桁
copper 铜警察
acknowledged 公认的
countrywide 全国的
chestnut 栗子
bluefin 金枪鱼
calorimeter 热量计
cuspidor 痰盂
cavitation 气穴现象
befit 适合
badmintoon 羽毛球
counterreaction 逆反应
circumgyrate 旋转
abdomen 腹腹部
cespitose 丛生的
alchemist 炼金术士
britainic 英国的
comedic 喜剧的
bespattered 溅污的
anticipative 预期的
comptroller 审计员
androecium 雄蕊
agential 代理商的
brownish 呈褐色的
computus 计算
ammonium [化]铵
christen 命名为
autocollimation 自准直仪
copter 直升机
canada 加拿大
attendant 服务员
abandonment 放弃
assortment 分类
aulic 宫廷的
bowlegged 弯脚的
crosslet 小十字形
cheaply 便宜地
crystallization 结晶化
backstair 间接的
bicron 毫微米
brazenfaced 厚脸皮的
crepehanger 悲观者
bioelectrical 生物电的
cephalous 有头的
beetroot 甜菜根
amoretto 小爱神
chondral 软骨的
averment 断言
alcazar 城堡
caraway 香菜
chondrocranium 软骨性颅
carnalize 好色
conducive 有益于
bearably 忍得住地
carbonado 黑金刚石
cloudwards 朝着云地
affreightment 租船货运
amberoid 合成琥珀
balladry 民谣
boodler 受贿者
bedew 沾湿
bireme 古代船
blessedness 幸福
asonant 无声音的
attila 匈奴王
arcuate 弓形的
ballpoint 圆珠笔
chutist 跳伞者
armyman 军人
calvarium 颅盖
abortus 流产胎
carved 有雕刻的
axite 轴索终丝
concession 让步
cannonproof 防弹的
bivalve 双壳类
antonym 反义词
afforce 加强阵容
cremation 烧火葬
cryptoclastic 隐屑的
circularity 环状
codefendant 共同被告
chaparejos 皮裤
cosmic 宇宙的
championship 锦标赛
autogyro 旋翼飞机
blanketyblank 该死的
confidentiality 机密性
cockade 帽章
crownland 王室领地
bulbar 球根的
bootjack 脱靴器
anagrammatism 字谜游戏
collectress 女收藏家
bassing 钓鲈鱼
anchoress 女隐士
bilievable 可信的
brushhook 钩镰
alternating 交互的
cooktop 炉灶面
bellyworm 蛔虫
backkward 向后地
classless 无阶级的
attenuate 削弱
automechanism 自动装置
anthroposophy 人智说
compart 分隔
aromatic 芬芳的
ambiversion 中向性格
cancerous 癌的
amorism 谈情说爱
aerotransport 运输机
colleging 大学教育
apotropaion 避邪物
amberjack 琥珀鱼
aggro 暴力行为
commingle 混合
appellor 上诉人
abatement 消除
curlew 一种鸟
chemitype 化学制版
conversable 谈得来的
birthstone 诞生石
commemorative 纪念的
afterword 编后记
comprehensively 包括地
asphaltic 柏油的
craftiness 狡猾
boilerplate 样板文件
algebraist 代数学家
caiman 凯门鳄
bracteate 有苞的
caning 鞭打
ciliated 有纤毛的
automatization 自动化
badlands 荒地
amphioxus 文昌鱼
clochard 钟楼
camphol 龙脑
aspersory 洒水器
committeeman 委员
actuator 激励者
bree 清汤
arrowy 笔直
adventurously 爱冒险地
borzoi 俄国狼狗
camera 照相机
coexist 共存
abrim 充满着
armguard 护手
apologized 道歉
bibliopole 书籍商
anaesthetise 使麻醉
crassamentum 半凝之血
bacteremia 菌血症
bookmarker 书签
barium 钡
bluebell 野风信子
chiastolite 空晶石
antihuman 反人类的
counterblow 反击
cartography 绘图法
chainlet 小链
ameliorant 改良物
abnegate 放弃
counterpiston 逆活塞
clearer 更清楚的
behavioral 动作的
arquebusier 火绳枪兵
afforest 造林于
cancer 癌毒瘤
blastomere 分裂球
cassava 木薯
castelet 小城堡
arthropathy 关节病
brad 曲头钉
curviform 弯曲的
chrematistics 理财学
absinth 苦艾酒
biological 生物学的
chinchilla 南美栗鼠
bribee 受贿者
aerolith 陨石
admonition 警告
beautician 美容师
connubiality 夫妇关系
bergall 青鲈
bidentate 有二齿的
cryochemistry 低温化学
chaeta 刺刚毛
agha =aga
convoke 召集
autokinetic 自动的
airmail 航空邮件
caulocaline 成茎素
accountantship 会计职务
bantam 矮脚鸡
contradistinguish 对照
cheque 支票
biangular 双角的
cashbook 现金簿
bearward 饲熊者
bulbul 夜莺
bonehead 笨蛋
arbitress 女仲裁人
bountifully 慷慨地
craniate 有头盖的
competitor 竞争者
crystallize 明确
colonic 结肠的
bluish 带蓝色的
carsick 晕车的
bouquet 花束
bootprint 靴印
chromatist 色彩学家
counterthrust 反击
consumer 消费者
baffleplate 障板
breviped 有矮脚的
calciform 石灰状的
annalistic 编年史的
birdcage 鸟笼
bedraggle 拖脏
cribwork 迭状木框
anemometry 风力测定
commonsensible 常识的
broadish 稍宽阔的
coffin 棺材
crystallizability 可结晶性
barebacked 无鞍的
adams 亚当斯
calvities 秃头
commutative 可交换的
airfight 空战
caponize 阉鸡
anhinga 美洲蛇鸟
abscissa 横坐标
bistoury 手术刀
combustible 易燃的
carsickness 晕车
cordiform 心形的
aestival 夏季的
campanero 钟鸟
backlighting 逆光
bamboo 竹子
archimedes 阿基米德
aerator 通风装置
cyanogen [化]氰
chappy 家伙
airline 定期航线
aspectant 面对面的
avert 转移
bridgeward 看桥者
antiauxin 抗生长素
achromate 色盲患者
amniotin 一种春药
coexistence 共存
authenticate 鉴别
aural 听觉的
coessential 同素的
boxing 拳击
alcoholicity 酒精含量
arytenoidal 杓状的
cubism 立体派
annulation 环状物
cases 案例
bleuderoi 深蓝色
chalkboard 黑板
arabic 阿拉伯的
bowsprit 船首斜桅
cathead 船首锚架
arthurian 亚瑟王的
borehole 地上凿洞
conniption 歇斯底里
amphibious 两栖的
cheekily 厚脸皮地
colaborer 劳工同事
byland 半岛
commerce 商业
anthropology 人类学
curlpaper 卷发纸
chopper 断路器
brickearth 制砖粘土
caddoan 喀多语
befringe 饰以边
coldly 冷淡地
bonism 世善说
chitter 啾啾而鸣
artifact 人造物品
beakiron 砧砧子
bootery 鞋靴店
cyanogenic 生氰的
accommodator 调解人
abstentious 有节制的
ambulant 走动的
connectedly 有关联地
ascensionist 上升者
capuche 尖顶风帽
cadmium [化]镉
citify 使都市化
baffler 调节墙
abbreviator 缩写者
bioinstrumentation 生物仪器
biothythm 生物节律
cadastre 地籍簿
businessman 商人
ablate 融化
armpit 腋窝
arthritis 关节炎
beaucoup 非常多的
cabriolet 蓬式汽车
arsenotherapy 砷剂医疗
bionomics 生态学
chastisement 惩罚
antelucan 黎明前的
coproduct 副产物
anonymous 匿名的
creationary 创造性的
chromium 铬
closestool 马桶
amicably 友善地
chersonese 半岛
clunch 粘土
arigato 谢谢
coalesce 接合
bemoan 哀叹
abrasion 磨损
agitative 煽动性的
asphaltite 沥青岩
belie 掩饰
africanize 使非洲化
cupola 炮塔
aneuploid 非整倍的
curt 简略的
colliery 煤矿
cheerless 不快活的
autofill 自动填充
consenter 同意者
cardfile 卡片盒
birdseed 鸟饵
airboat 汽船
africander 南非牛
arrestee 被捕者
brothel 妓院
attached 附加的
aquaculture 水产业
antipatriotic 反爱国的
blackbeetle 蟑螂
antidotal 解毒的
beanstalk 豆茎
bisectrix 等分线
bumbershoot 雨伞
boxful 一箱的
aftermentioned 后述的
cookshack 灶棚
bangalore 炸药桶
aftershock 余震
anesthetist 麻醉师
aneurism 动脉瘤
camail 盔甲披肩
burial 埋葬
cokernut 椰子
axolotl 蝾螈
antennule 小触角
arborize 使分叉
bootblack 擦鞋童
catalyst 催化剂
attitudinize 装腔作势
champertor 助讼者
butadiene 丁二烯
braciola 酒烩肉卷
circulatory 循环的
angiosperm 被子植物
cancrivorous 食蟹的
codfish 鳕
condiment 调味品
buckled 有扣的
asymptomatic 无症状的
crawly 悚然的
architect 建筑师
annulus 环面
cordis 心脏的
camomile 甘菊
chopine 高底鞋
aeromap 航空地图
accelerometer 加速计
contadina 农妇
authorize 批准
candleholder 烛台
buffoon 小丑
coma 昏迷
cape 海角岬
canning 罐头制造
antinode (波)腹
apanage 属地
amaze 使吃惊
cordite 无烟火药
ambit 范围
circumnutation 回旋运动
commix 混合
ballplayer 棒球手
attenuable 能稀释的
cubicle 小卧室
bandanna 大手帕
champerty 帮诉
centipede 蜈蚣
crool 发咕咕声
credibility 可信性
alleviation 缓和
angular 有角的
cuddle 拥抱
adamant 坚硬的
bibliographize 作书目
cacodemon 恶魔
catatonia 紧张症
crenation 圆锯齿状
conferrer 授予者
breadthwise 横向地
apportion 分配
bookbinding 装订
celebrated 著名的
cochairman 副主席
burglar 夜贼
coracle 小圆舟
bedim 模糊
childbearing 分娩
coxy 骄傲的
canaliculate 有细管的
cognizant 认知的
astrict 束缚
bacterium 细菌
conferrale 授予
blooming 盛开的
apiculus 小尖端
chickenhearted 胆小的
bemud 使迷糊
ancress 女隐士
chironomid 摇蚊
afferently 传入地
bareboat 空船的
counterweigh 使平衡
counterrevolution 反革命
breechless 无后膛的
coastline 海岸线
carpogonium 果胞
beiruti 贝鲁特人
android 机器人
coralloid 珊瑚状的
branchia 鳃
basilic 重要的
benevolent 慈善的
canaled 有运河的
busily 忙碌地
aircraft 航行器
briefing 简报
bathrobe 浴衣
carboxyl 羧基
bandore 三弦琴
aminate 氨化
collectivization 集体化
anywise 无论如何
amentia 智力缺陷
amendable 可修正的
chickweed 繁缕
bingy 肚子
bedrench 使湿透
babelism 混乱
cookstove 烹调用炉
coalfield 煤田
adrip 湿淋淋的
autonomy 自治
coom 煤烟
carpolite 石子
brimfull 盈满的
assimilability 可同化性
arborescent 树木状的
coconspirator 共谋者
canis 犬属
commiseration 同情
altimeter 高度计
bituminous 含沥青的
athirst 渴望的
carvel 轻快帆船
cautionary 警戒的
ariel 羚羊类
americanize 使美国化
betweenmaid 女佣
corridor 走廊
autotruck 运货卡车
capsid 衣壳
conceitedly 自满地
autotoxicosis 自体中毒
chiromancy 手相术
also 也同样
atone 弥补
anaesthetics 麻醉学
congested 拥挤的
brewage 调制
breakwind 防风林
beset 困扰
curricular 课程的
concordant 协调的
bicephalous 两头的
beeline 直线
carrottop 红发的人
chive 细香葱
communism 共产主义
alibility 有营养
commutability 可代替
atomics 原子学
carditis 心脏炎
converter 转炉
adagiettos 慢板短曲
antemarital 婚前的
cartoonist 漫画家
commonable 公有的
boyhood 少年时代
africa 非洲
affirmatively 肯定地
bower 凉亭
cantalever 悬臂
annam 安南
conciliar 会议的
crapy 皱褶的
anthelion 幻日
antonomasia 换称
causally 有原因地
campimeter 视野计
ampere 安培
collusive 共谋的
brainwashing 洗脑
backout 拆除
centaury 矢车菊
cupronickel 白铜
boresome 烦人的
beetleheaded 笨的
attire 服装
antigropelos 防水绑腿
attest 证明
centrifugal 离心的
calorie 卡路里
cannonball 炮弹
almsgiver 施舍者
acalycine 无花萼的
compressibility 可压缩性
adsorption 吸附
comfily 舒服地
cetological 鲸类学的
antiblack 反黑人的
coelom 体腔
calculability 可计算
aeolipile 汽转球
arenose 多沙的
anemoscope 风速仪
cephalad 向头部地
cruet 调味瓶
culottes 女用裙裤
criminalistics 刑事学
cordate 心脏形的
crocked 喝醉了的
belee 置之下风
barotolerance 耐高压性
armoire 大型衣橱
cafeteria 自助餐厅
casita 小屋
byplot 旁节
betting 打赌
accused 被告
blueing 带青色的
alkyne [化]炔
citrate 柠檬酸盐
bibliokleptomania 盗书癖
baleen 鲸须
champaign 原野
cosovereignty 共同主权
arabization 阿拉伯化
bracelet 手镯
banlieue 郊区
anthologize 编选集
ballotage 决选投票
caseous 干酪似的
arrogate 冒称
coprecipitation 一起沉淀
acetabuliform 碟状的
abiosis 无生命
bagworm 结草虫
balsam 香液
abacist 用算盘者
asbestoid 似石棉的
caudiform 尾状的
cretinous 白痴病的
concentric 同中心的
budgetary 预算的
callboard 通告板
creative 创造性的
anandrous 无雄蕊的
alarmism 危言耸听
carpentry 木工工作
alter 改变
cerusite 白铅矿
crud 脏家伙
boride 硼化物
clubfoot 畸形足
amplificatory 放大的
beautifier 美化者
bifacial 有两面的
concatenation 串联
affectively 情感地
clownish 滑稽的
cofferdam 围堰
abd 准博士
bounden 有责任的
amortise 摊还
bravely 勇敢地
beaverboard 纤维板
braise 炖蒸
arithmetically 算术上
bipartite 双向的
calvous 光头的
chloroacetic 氯乙酸的
anus 肛门
casus 案例
certifier 证明者
cockfight 斗鸡
chilly 寒冷的
bugler 喇叭手
boost 推进
advisability 明智
aristocrat 贵族
crossbedded 交错层的
cholesterol 胆固醇
compilation 编辑
ctenidium 栉鳃
architecturally 建筑上
chiliast 信徒
continentality 陆性率
actinomycete 放射菌类
conversazione 座谈会
chromhidrosis 色汗症
crystallizable 可结晶的
bioscope 放映机
constructive 建设性的
chapelgoer 非国教徒
achy 疼痛的
cercus 尾毛
anhydride 酐
constipate 便秘
automatize 使自动化
bombycid 蛾的一种
amphoteric 两性的
barrelhead 桶盖
cameralistics 财政学
cubanize 使古巴化
activating 使活动
ambulate 走动
calmbelt 无风带
amplectant 攀附的
avowedly 公然地
curiously 好奇地
cybernation 自动控制
cheekiness 厚脸皮
boult 筛子
chassis 底盘
cesspit 污水坑
advantageous 有利的
bursarial 会计员的
cyanogenetic 生氰的
crinoidea 海百合纲
adjustability 适应性
autolysate 自溶产物
barret 无边帽
chirographer 书法家
condole 慰问
barytic 重土的
battleground 战场
autoregulation 自动调整
buckjump 腾跃
cybernetical 控制论的
appeaser 劝解人
curtana 无尖刀
battleplane 战斗机
bandolero 剪径强盗
barodynamics 重量力学
adsorbable 能吸附的
civilizable 可教化的
basidiomycete 担子菌类
constrict 压缩
carbarn 车库
cockspur 鸡距
bunghole 桶孔
bigamist 重婚者
baptismal 洗礼的
canework 藤品
brume 雾霭
beacher 浪涛
chloroethylene 氯乙烯
conduction 传导
cinematography 电影术
asperse 诽谤
cossette 甜菜丝
breech 臀部
bise 寒风
bullring 斗牛场
adenectomy 腺切除术
belfried 有钟楼的
blabbermouth 长舌者
creditor 债权人
aerophore 呼吸面具
antonymy 反义词组
boating 划船
aerostat 航空器
countercoup 反政变
bishop 主教
bard 吟游诗人
apprise 通知
chirurgeon 外科医生
arteriosclerosis 动脉硬化
bedin 示威游行
blastoderm 胚盘
competitive 竞争的
actinium [化]锕
altiplano 高原
asthenia 衰弱
cumulation 累积
besmear 涂弄脏
boxtree 黄杨树
adventuresome 冒险性的
alkalinization 碱化
bookselling 书籍贩卖
certification 证明
autocycle 摩托车
countdown 倒数计秒
crabhole 蟹穴
cariogenic 生龋齿的
auger 螺丝钻
conceptual 概念上的
curlycue 花体
antimatter 反物质
bombsite 被炸区域
aback 向后地
achromatophilia 拒染性
bestraddle 跨
adapted 适合的
affirmable 可断言的
aesthetism 唯美主义
chiv 匕首刀
conjuror 魔术师
banting 减肥疗法
cessation 停止
barback 军营
collarband 领子
bloodstain 血迹
acantha 脊椎刺
aeration 通风
alpeen 粗头短棍
barbarization 野蛮化
broth 肉汤
amyotonia 肌弛缓
bobsled 长橇
cuttloefish 乌贼
choleric 易怒的
cipher 密码
buckhorn 鹿角
calls 调用
analyzing 分析
axisymmetric 轴对称的
bended 弯曲的
berliner 柏林市民
commodious 宽敞的
cankerworm 尺蠖
brasserie 啤酒店
acquiescence 默许
beleaguer 围围攻
consoling 可安慰的
circulator 循环器
concisely 简明地
capsizal 倾覆
battlemented 有城垛的
brigade 旅队
anguilliform 鳗状的
cineprojector 放映机
arthromere 体节
comparator 比较仪
acrobatics 杂技
bench 长椅子
chemoreceptivity 化学感应
agitator 煽动者
benthic 深海底的
congenetic 同源的
agazed 受惊吓的
cryptosystem 密码系统
asininity 愚钝
catamnesis 诊后病历
cruising 巡航的
chymic 化学的
bulbiform 球状的
cello 大提琴
banc 法官席
abscessed 长脓疮的
creophagous 食肉的
boll 圆荚
abask 暖洋洋地
botanist 植物学家
citizeness 女性市民
babesia 巴贝西虫
cuneatic 楔形的
bashlyk 头巾
conicoid 二次曲面
cerastium 耳草属
asymptomatically 无症状地
chrysanthemum 菊花
crabgrass 一种杂草
borax 硼砂
calicle 小杯状体
budge 移动
chateau 城堡
bushbuck 羚羊
antianxity 抗焦虑的
basswood 椴木
aberration 失常
chinela 拖鞋
conductible 可传导的
clayware 黏土制品
beautification 美化
blessing 祝福
bronzing 烫金
concretely 具体地
acotyledonous 无子叶的
counterfeiting 伪造
bondman 奴隶
bankbook 银行存折
cayenne 辣椒
autoconditioning 自动调整
concatenate 连接
amortisement 摊还
aerolite 陨石
begnaw 咬啃
asphyxiation 窒息
aberrant 异常的
chippewa 齐佩瓦族
bootstrap 解靴带
collutory 漱口剂
changemaker 换零钱机
assai 甚极
amiga 女性朋友
cockbrain 浮躁的人
burgrave 贵族
cuneal 楔形的
capably 能干地
amotivational 缺乏动机
biometry 寿命测定
celeriac 块根芹
cooly 苦力
audiotape 录音磁带
cuspid 犬齿牙
concluding 结束的
braxy 羊炭疽
biforked 分叉的
argyrol 含银液
calyciform 萼状的
apparente 明显的
buses 公共汽车
childie 小孩儿
arcograph 圆弧规
chorist 合唱队员
corniced 有飞檐的
clubbed 棒状的
brimstone 硫黄
calamite 芦木
chervil 山萝卜
brazilwood 苏木
abactinal 无触角的
anglistics 英语学
classifiable 可分类的
arthrospore 分节孢子
cowheel 炖蹄筋
besprinkle 洒布满
bedgown 睡衣
breathalyse 呼吸试验
attacker 攻击者
airpark 小飞机场
boron [化]硼
adsum 到有
caeciform 盲肠形的
albumenize 涂蛋白于
accordionist 手风琴师
brickyard 砖厂
concelebrate 共做弥撒
broadcasting 广播
clandestine 秘密的
chrismal 圣油的
balneology 浴疗学
cryopump 低温泵
blackhead 黑头粉刺
antidraft 反征兵
chrysolite 贵橄榄石
cushat 斑鸠
attractability 吸引性
bride 新娘
concelebration 共祝圣餐
coffeepot 咖啡壶
copperize 镀铜
butte 孤立的丘
clipbook 剪贴本
blackboard 黑板
cultural 文化的
amice 披肩
clairvoyante 女千里眼
capric 公山羊的
contractual 契约的
bilge 舱底
backdate 回溯
borderer 边境居民
bondservice 奴役
cram 填满
burier 埋葬者
broomstick 帚柄
cleanbred 纯种的
bimanous 有两手的
boredom 厌倦
computational 计算的
amylolysis 淀粉分解
alfine 到头了
abaxial 离轴的
ammeter 电表
cosmism 宇宙论
allodiality 自由地
acknowledgedly 公认地
caecitis 盲肠炎
circumflex 抑扬符号
adsorbability 吸附力
atroceruleous 藏青色的
arsonist 纵火犯人
absentmindedly 茫然地
cartridge 弹药筒
codicology 手稿学
caudad 近尾部
contracture 挛缩
bravest 勇敢的
bilker 骗子
combustion 燃烧
cappie 小酒杯
beard 胡须
blowmobile 雪撬
blenny 粘鱼
aciform 尖如针的
covent 女修道院
clockwork 时钟机构
biographical 传记的
australis 南极光
bridegroom 新郎
blowball 絮球
backwards 向后
bestride 骑
cryotherapy 冷冻疗法
bedstone 下磨石
bedstead 床架
bloomers 灯笼裤
crenature 圆锯齿
azov 亚述海
bloodshed 流血
bazar 市场
cardroom 桥牌室
cunner 青鲈
coherence 一致
banco 审判官席
ambassador 大使
calorifics 热学
causality 因果关系
conglomerate 聚结
canella 白桂皮
bracken 欧洲蕨
cesium [化]铯
andesite 安山石
backdoor 秘密的
cliquish 小集团的
cohorts 军团
chiliad 一千年
assumable 可假定的
autoeciously 寄生地
cowgirl 女牛仔
chiastic 交错法的
clarinetist 吹木箫者
botch 修补
apostolic 使徒的
coercing 强迫
bandeau 细带
cathode 阴极
airbag 安全气袋
autobiography 自传
carful 一车之量
crozier 牧杖
cooking 烹饪
bicolor 二色的
chlortetracycline 氯四环素
borderline 边界线
complanation 平面化
authorial 著者的
cabernet 红葡萄酒
cuticolor 肉色的
aquiclude 含水土层
anticaries 防龋的
beld 秃头的
cookbook 食谱
biblical 圣经的
biologically 生物学上
anglepod 角荚植物
axisymmetrical 轴对称的
conformation 构造
clapper 铃舌
audiometrist 听力测定
carlet 三面锉
angelophany 天使显现
anecdotical 轶事的
cachalot 抹香鲸
arpeggio 琶音
anther 花粉囊
cramoisy 深红色的
calorimetry 热量测定
barometric 大气压力
anyone 任何一个
bicrural 双腿的
apprehensively 担心地
chophouse 小餐馆
autographical 亲笔的
absorption 吸收
chincherinchee 球根植物
abettor 教唆犯
aeromodelling 航模
brightly 明亮地
chatelet 小城堡
acousma 幻听
animalcule 微生物
bengal 孟加拉
barleycorn 大麦粒
anta 壁端柱
chaperonage 伴随
aquosity 潮湿
azimuthal 方位角的
barometer 气压计
applecart 苹果车
crag 峭壁
castigate 严惩
appertain 属于
cumulous 积云状的
avid 渴望的
batrachoid 似蛙的
belibel 谗诽谤
custodian 管理人
accompanist 伴奏者
booted 穿靴的
barbette 炮座
benzoin 安息香胶
catoptric 反射的
aeonian 永久的
caiquejee 浆手
broccoli 椰菜
copulatory 交配的
assassination 暗杀
brownness 褐色
compensability 可补偿性
atomicity 原子数
cryophyte 冰雪植物
accretion 增长
antinomy 自相矛盾
aconitine 乌头碱
argyria 银中毒
coevality 同时代
county 县郡
birdlime 粘鸟胶
cavalry 骑兵
blackfellow 澳洲土人
captainless 无首领的
belvedere 望景楼
choreographer 舞蹈指导
cheongsam 旗袍
biologist 生物学家
bellbird 铃鸟
barroque 巴洛克式
childbirth 分娩
astronomy 天文学
colon 冒号
arthromeric 体节的
crane 起重机
antiphrasis 反用法
celebrator 祝贺的人
afterwit 事后聪明
confiscable 可没收的
archaeologist 考古学家
counterdrug 解瘾药
contrapuntal 对位的
abase 降低
chancellery 大臣
budgerigar 相思鹦鹉
chemosphere 光化层
annal 记录
aspishly 似毒蛇地
anna 安娜
adulthood 成人期
brahmanism 婆罗门教
cryoprotective 防冷冻的
cockneyese 伦敦方言
camisa 女用衬衫
clotted 凝结的
corvee 强迫劳役
counterglow 对日
adlittoral 浅水的
anthropophagy 食人
antimacassar 椅子罩子
caliology 鸟巢学
brimming 满溢的
blackcurrant 黑醋栗
chlorine [化]氯
booklet 小册子
chainstitch 链形缝
consultative 咨询的
blinder 眼罩
cataphoric 电泳的
conscription 征召
astromancer 星卜术
amperehour 安培时
adjacency 邻接
cataclasm 碎裂
argenteous 银灰色的
corvus 乌鸦座
balloonfish 河豚
curial 元老院的
apologizer 辩护者
bowlful 一满碗
amphictyony 近邻同盟
cardiogram 心电图
broider 刺绣
bepuzzlement 困惑
colloblast 粘细胞
clothesline 晒衣绳
cookery 烹调术
aeromechanics 航空力学
antechamber 接待室
chaldron 煤量名
bondwoman 女奴隶
carex 苔属植物
coinheritance 共同继承
baby 婴孩
collateral 间接的
bioscience 生物科学
breadthways 横地
commixture 混合
adulteress 奸妇
biathlon 两项竞赛
caesious 青灰色的
cuculliform 兜帽状的
contraindication 禁忌征候
avowal 声明
choora 单刃匕首
camelry 骆驼骑兵
chorale 赞美诗
collaborator 合作者
contrastive 对比的
chapstick 无色唇膏
accessable 可接近的
cadastration 地籍测量
chemotherapy 化学疗法
adsorbate 被吸附物
chengteh 承德
businessmen 生意人
carnassial 食肉的
bohr 波尔
analyser 分析者
cucumiform 黄瓜状的
bungle 办糟
arris 棱
appositely 适切地
bodhisattva 菩萨
convalescence 逐渐康复
bathybic 深海底的
catalysis 催化作用
alphabet 字母表
copygraph 油印机
boric 硼的
customhouse 海关
courageously 勇敢地
amerenglish 美国英语
cultch 贝壳屑
autocrat 独裁者
adventurer 冒险家
agendum 议程
bagpipe 风笛
bioelectricity 生物电
crummy 丰满的
benzene [化]苯
comedist 喜剧作家
chantress 女吟唱者
alienee 受让人
bookstack 书架
canterbury 坎特伯雷
crystallite 微晶
